198.235.24.18 - - [22/Dec/2024:00:01:05 -0500] "GET / HTTP/1.1" 200 508
45.79.120.183 - - [22/Dec/2024:00:05:18 -0500] "GET / HTTP/1.1" 200 508
45.79.120.183 - - [22/Dec/2024:00:05:19 -0500] "GET / HTTP/1.1" 200 508
45.79.120.183 - - [22/Dec/2024:00:05:23 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
45.79.120.183 - - [22/Dec/2024:00:05:23 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
206.168.34.206 - - [22/Dec/2024:00:13:04 -0500] "GET / HTTP/1.1" 200 508
206.168.34.206 - - [22/Dec/2024:00:13:08 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
206.168.34.114 - - [22/Dec/2024:00:14:06 -0500] "GET / HTTP/1.1" 200 508
206.168.34.114 - - [22/Dec/2024:00:14:13 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
52.167.144.160 - - [22/Dec/2024:00:16:47 -0500] "GET /elogNew/ui/login.jsf HTTP/1.1" 200 5043
134.231.167.118 - - [22/Dec/2024:00:26:03 -0500] "GET /elogNew/ HTTP/1.1" 200 5044
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/theme.css.jsf?ln=primefaces-ultima-indigo HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/css/ripple.css.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=ultima-layout HTTP/1.1" 200 1163
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/js/ripple.js.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=ultima-layout HTTP/1.1" 200 1130
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/js/layout.js.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=ultima-layout HTTP/1.1" 200 21901
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/images/dfylogo.png.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=ultima-layout HTTP/1.1" 200 4364
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/images/logo1.png.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=ultima-layout HTTP/1.1" 200 46714
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/fa/font-awesome.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=primefaces&v=6.0 HTTP/1.1" 200 107669
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/core.js.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=primefaces&v=6.0 HTTP/1.1" 200 30517
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/components.css.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=primefaces&v=6.0 HTTP/1.1" 200 75308
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=primefaces&v=6.0 HTTP/1.1" 200 245552
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/components.js.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=primefaces&v=6.0 HTTP/1.1" 200 357434
134.231.167.118 - - [22/Dec/2024:00:26:04 -0500] "GET /elogNew/javax.faces.resource/css/layout-indigo.css.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4?ln=ultima-layout HTTP/1.1" 200 77882
134.231.167.118 - - [22/Dec/2024:00:26:06 -0500] "GET /elogNew/javax.faces.resource/images/login/gm-login.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:06 -0500] "GET /elogNew/javax.faces.resource/fonts/MaterialIcons-Regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:06 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-700.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:06 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:09 -0500] "POST /elogNew/ui/login.jsf;jsessionid=8A53775C4AB88A5688FD92D66A06D2D4 HTTP/1.1" 302 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/ui/vehicle/vehicle-query.jsf HTTP/1.1" 200 16390
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/theme.css.jsf?ln=primefaces-ultima-indigo HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/fa/font-awesome.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/components.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/core.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/css/animate.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/css/layout-indigo.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/swipe.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/nanoscroller.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/images/dfyoung-spon1.jpg.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/components.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/images/avatar4.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/layout.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/ripple.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/images/logo.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/images/profile-gm.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
